id,frekans,uzaklik,sure,ortam,algilama_sayisi,maks_db,ortalama_db
176,17000,5,5,hava,10.6,124.11,115.09
177,18000,5,5,hava,10.6,132.11,125.94
178,18000,4.5,5,hava,10.2,127.32,124.44
179,18000,4,5,hava,10.6,126.36,117.52
180,18000,3.5,5,hava,10.4,132.36,127.91
181,18000,3,5,hava,10.4,114.28,106.11
182,18000,2.5,5,hava,10.6,120.69,115.77
183,18000,2,5,hava,10.6,123.72,117.32
184,18000,1.5,5,hava,10.4,126.24,117.7
185,18000,1,5,hava,10.4,122.83,112.18
186,18000,0.5,5,hava,10.6,132.13,126.77
187,19000,0.5,5,hava,10,132.83,126.56
188,19000,1,5,hava,10.2,133.41,127.28
189,19000,1.5,5,hava,10.6,131.79,124.39
190,19000,2,5,hava,10.6,127.65,123.02
191,19000,2.5,5,hava,9.6,123.3,119.76
192,19000,3,5,hava,10.6,125.55,121.75
193,19000,3.5,5,hava,10.8,128.73,119.55
194,19000,4,5,hava,10.6,137.02,132.17
195,19000,4.5,5,hava,10.6,129.09,123.65
196,19000,5,5,hava,10.6,121.72,111.03
197,20000,5,5,hava,10.6,128.58,122.89
198,20000,4.5,5,hava,10.4,135.9,129.87
199,20000,4,5,hava,10.6,135.24,127.92
200,20000,3.5,5,hava,10.6,134.81,128.74
201,20000,3,5,hava,10.4,126.36,118.54
202,20000,2.5,5,hava,10.6,131.51,124.01
203,20000,2,5,hava,10.6,129.17,121.34
204,20000,1.5,5,hava,10.6,131.21,123.94
205,20000,1,5,hava,10.6,136.69,129.45
206,20000,0.5,5,hava,10.6,137.43,131.51
